a,b,c
-1.63E-03,6.74E-04,7.29E-03
-1.64E-03,6.66E-04,7.28E-03
-1.65E-03,6.56E-04,7.27E-03
-1.66E-03,6.47E-04,7.27E-03
-1.66E-03,6.47E-04,7.27E-03
-1.65E-03,6.53E-04,7.27E-03
-1.65E-03,6.62E-04,7.28E-03
-1.65E-03,6.68E-04,7.28E-03
-1.64E-03,6.73E-04,7.29E-03
-1.64E-03,6.72E-04,7.29E-03
-1.64E-03,6.64E-04,7.28E-03
-1.65E-03,6.53E-04,7.27E-03
-1.65E-03,6.50E-04,7.27E-03
-1.65E-03,6.50E-04,7.27E-03
-1.65E-03,6.56E-04,7.27E-03
-1.64E-03,6.64E-04,7.28E-03
-1.63E-03,6.75E-04,7.29E-03
-1.63E-03,6.82E-04,7.29E-03
-1.64E-03,6.75E-04,7.28E-03
-1.64E-03,6.65E-04,7.27E-03
-1.65E-03,6.60E-04,7.27E-03
-1.65E-03,6.51E-04,7.26E-03
-1.66E-03,6.49E-04,7.27E-03
-1.65E-03,6.57E-04,7.28E-03
-1.64E-03,6.66E-04,7.29E-03
-1.64E-03,6.70E-04,7.29E-03
-1.65E-03,6.63E-04,7.28E-03
-1.66E-03,6.53E-04,7.27E-03
-1.66E-03,6.46E-04,7.26E-03
-1.66E-03,6.45E-04,7.25E-03
-1.65E-03,6.49E-04,7.26E-03
-1.65E-03,6.59E-04,7.27E-03
-1.64E-03,6.67E-04,7.28E-03
-1.64E-03,6.70E-04,7.29E-03
-1.65E-03,6.67E-04,7.29E-03
-1.65E-03,6.59E-04,7.28E-03
-1.65E-03,6.55E-04,7.27E-03
-1.65E-03,6.53E-04,7.26E-03
-1.65E-03,6.51E-04,7.26E-03
-1.65E-03,6.53E-04,7.26E-03
-1.64E-03,6.62E-04,7.27E-03
-1.63E-03,6.71E-04,7.28E-03
-1.63E-03,6.76E-04,7.28E-03
-1.64E-03,6.75E-04,7.28E-03
-1.65E-03,6.69E-04,7.28E-03
-1.65E-03,6.60E-04,7.27E-03
-1.66E-03,6.51E-04,7.26E-03
-1.66E-03,6.52E-04,7.26E-03
-1.65E-03,6.61E-04,7.27E-03
-1.64E-03,6.66E-04,7.28E-03
-1.65E-03,6.66E-04,7.28E-03
-1.65E-03,6.67E-04,7.28E-03
-1.64E-03,6.68E-04,7.29E-03
-1.64E-03,6.62E-04,7.29E-03
-1.65E-03,6.52E-04,7.27E-03
-1.66E-03,6.47E-04,7.25E-03
-1.65E-03,6.54E-04,7.26E-03
-1.64E-03,6.65E-04,7.27E-03
-1.63E-03,6.75E-04,7.28E-03
-1.62E-03,6.85E-04,7.29E-03
-1.63E-03,6.88E-04,7.29E-03
-1.64E-03,6.81E-04,7.28E-03
-1.64E-03,6.71E-04,7.27E-03
-1.65E-03,6.62E-04,7.26E-03
-1.65E-03,6.64E-04,7.27E-03
-1.65E-03,6.72E-04,7.27E-03
-1.64E-03,6.81E-04,7.27E-03
-1.63E-03,6.89E-04,7.28E-03
-1.62E-03,6.93E-04,7.28E-03
-1.63E-03,6.90E-04,7.28E-03
-1.63E-03,6.77E-04,7.28E-03
-1.65E-03,6.62E-04,7.27E-03
-1.66E-03,6.59E-04,7.26E-03
-1.65E-03,6.69E-04,7.26E-03
-1.64E-03,6.75E-04,7.28E-03
-1.64E-03,6.79E-04,7.29E-03
-1.63E-03,6.83E-04,7.29E-03
-1.63E-03,6.85E-04,7.28E-03
-1.63E-03,6.80E-04,7.27E-03
-1.64E-03,6.71E-04,7.26E-03
-1.65E-03,6.70E-04,7.26E-03
-1.65E-03,6.68E-04,7.26E-03
-1.65E-03,6.71E-04,7.26E-03
-1.64E-03,6.80E-04,7.27E-03
-1.64E-03,6.87E-04,7.28E-03
-1.63E-03,6.94E-04,7.29E-03
-1.63E-03,6.94E-04,7.28E-03
-1.64E-03,6.82E-04,7.27E-03
-1.65E-03,6.63E-04,7.26E-03
-1.65E-03,6.55E-04,7.28E-03
-1.64E-03,6.63E-04,7.29E-03
-1.64E-03,6.77E-04,7.29E-03
-1.64E-03,6.83E-04,7.28E-03
-1.64E-03,6.85E-04,7.27E-03
-1.64E-03,6.86E-04,7.27E-03
-1.64E-03,6.84E-04,7.27E-03
-1.65E-03,6.80E-04,7.27E-03
-1.65E-03,6.72E-04,7.28E-03
-1.66E-03,6.71E-04,7.27E-03
-1.65E-03,6.80E-04,7.26E-03
-1.64E-03,6.88E-04,7.27E-03
-1.63E-03,6.94E-04,7.28E-03
-1.62E-03,6.99E-04,7.28E-03
-1.62E-03,7.02E-04,7.27E-03
-1.62E-03,6.97E-04,7.27E-03
-1.63E-03,6.85E-04,7.27E-03
-1.65E-03,6.74E-04,7.26E-03
-1.65E-03,6.76E-04,7.27E-03
-1.65E-03,6.83E-04,7.27E-03
-1.64E-03,6.90E-04,7.28E-03
-1.63E-03,6.97E-04,7.30E-03
-1.63E-03,6.97E-04,7.30E-03
-1.63E-03,6.91E-04,7.30E-03
-1.64E-03,6.83E-04,7.29E-03
-1.64E-03,6.77E-04,7.27E-03
-1.65E-03,6.73E-04,7.26E-03
-1.65E-03,6.78E-04,7.26E-03
-1.64E-03,6.88E-04,7.27E-03
-1.63E-03,6.96E-04,7.28E-03
-1.62E-03,7.00E-04,7.28E-03
-1.62E-03,6.93E-04,7.27E-03
-1.64E-03,6.78E-04,7.26E-03
-1.66E-03,6.67E-04,7.26E-03
-1.66E-03,6.62E-04,7.26E-03
-1.66E-03,6.65E-04,7.26E-03
-1.65E-03,6.75E-04,7.26E-03
-1.64E-03,6.84E-04,7.27E-03
-1.63E-03,6.94E-04,7.28E-03
-1.63E-03,6.96E-04,7.29E-03
-1.63E-03,6.89E-04,7.28E-03
-1.64E-03,6.82E-04,7.27E-03
-1.65E-03,6.68E-04,7.26E-03
-1.66E-03,6.62E-04,7.26E-03
-1.65E-03,6.69E-04,7.26E-03
-1.64E-03,6.75E-04,7.26E-03
-1.64E-03,6.79E-04,7.27E-03
-1.64E-03,6.84E-04,7.27E-03
-1.64E-03,6.80E-04,7.27E-03
-1.65E-03,6.69E-04,7.27E-03
-1.65E-03,6.62E-04,7.26E-03
-1.66E-03,6.60E-04,7.26E-03
-1.65E-03,6.63E-04,7.27E-03
-1.64E-03,6.72E-04,7.29E-03
-1.63E-03,6.80E-04,7.30E-03
-1.63E-03,6.89E-04,7.29E-03
-1.62E-03,6.95E-04,7.30E-03
-1.62E-03,6.91E-04,7.29E-03
-1.64E-03,6.77E-04,7.26E-03
-1.66E-03,6.63E-04,7.25E-03
-1.66E-03,6.58E-04,7.25E-03
-1.65E-03,6.62E-04,7.26E-03
-1.64E-03,6.70E-04,7.26E-03
-1.63E-03,6.76E-04,7.27E-03
-1.63E-03,6.81E-04,7.27E-03
-1.63E-03,6.79E-04,7.27E-03
-1.64E-03,6.72E-04,7.27E-03
-1.66E-03,6.65E-04,7.26E-03
-1.67E-03,6.54E-04,7.25E-03
-1.67E-03,6.50E-04,7.25E-03
-1.65E-03,6.61E-04,7.26E-03
-1.64E-03,6.76E-04,7.27E-03
-1.63E-03,6.82E-04,7.28E-03
-1.63E-03,6.76E-04,7.28E-03
-1.65E-03,6.66E-04,7.27E-03
-1.65E-03,6.59E-04,7.26E-03
-1.65E-03,6.57E-04,7.25E-03
-1.65E-03,6.57E-04,7.24E-03
-1.65E-03,6.52E-04,7.25E-03
-1.65E-03,6.54E-04,7.26E-03
-1.64E-03,6.60E-04,7.27E-03
-1.63E-03,6.70E-04,7.29E-03
-1.63E-03,6.78E-04,7.30E-03
-1.64E-03,6.72E-04,7.28E-03
-1.65E-03,6.63E-04,7.26E-03
-1.66E-03,6.57E-04,7.25E-03
-1.65E-03,6.62E-04,7.25E-03
-1.64E-03,6.72E-04,7.26E-03
-1.63E-03,6.84E-04,7.27E-03
-1.62E-03,6.91E-04,7.28E-03
-1.62E-03,6.91E-04,7.28E-03
-1.63E-03,6.83E-04,7.27E-03
-1.65E-03,6.71E-04,7.26E-03
-1.66E-03,6.65E-04,7.25E-03
-1.66E-03,6.63E-04,7.25E-03
-1.65E-03,6.67E-04,7.26E-03
-1.64E-03,6.79E-04,7.27E-03
-1.62E-03,6.92E-04,7.28E-03
-1.62E-03,6.98E-04,7.28E-03
-1.62E-03,6.95E-04,7.29E-03
-1.63E-03,6.84E-04,7.28E-03
-1.64E-03,6.77E-04,7.28E-03
-1.65E-03,6.69E-04,7.26E-03
-1.65E-03,6.67E-04,7.26E-03
-1.64E-03,6.72E-04,7.27E-03
-1.63E-03,6.77E-04,7.28E-03
-1.63E-03,6.80E-04,7.28E-03
-1.62E-03,6.81E-04,7.28E-03
-1.62E-03,6.77E-04,7.28E-03
-1.63E-03,6.71E-04,7.28E-03
-1.64E-03,6.61E-04,7.27E-03
-1.65E-03,6.56E-04,7.26E-03
-1.65E-03,6.61E-04,7.26E-03
-1.63E-03,6.70E-04,7.26E-03
-1.62E-03,6.79E-04,7.27E-03
-1.62E-03,6.82E-04,7.27E-03
-1.62E-03,6.78E-04,7.27E-03
-1.64E-03,6.70E-04,7.27E-03
-1.65E-03,6.65E-04,7.26E-03
-1.65E-03,6.63E-04,7.25E-03
-1.64E-03,6.63E-04,7.26E-03
-1.65E-03,6.65E-04,7.26E-03
-1.64E-03,6.68E-04,7.27E-03
-1.62E-03,6.82E-04,7.30E-03
-1.61E-03,6.91E-04,7.30E-03
-1.61E-03,6.86E-04,7.27E-03
-1.63E-03,6.78E-04,7.25E-03
-1.64E-03,6.68E-04,7.26E-03
-1.64E-03,6.59E-04,7.25E-03
-1.65E-03,6.56E-04,7.25E-03
-1.65E-03,6.66E-04,7.26E-03
-1.64E-03,6.78E-04,7.26E-03
-1.63E-03,6.84E-04,7.27E-03
-1.63E-03,6.78E-04,7.27E-03
-1.64E-03,6.67E-04,7.26E-03
-1.66E-03,6.56E-04,7.25E-03
-1.66E-03,6.52E-04,7.26E-03
-1.66E-03,6.53E-04,7.26E-03
-1.65E-03,6.55E-04,7.26E-03
-1.64E-03,6.62E-04,7.27E-03
-1.63E-03,6.72E-04,7.26E-03
-1.63E-03,6.77E-04,7.26E-03
-1.64E-03,6.71E-04,7.26E-03
-1.65E-03,6.59E-04,7.26E-03
-1.65E-03,6.51E-04,7.25E-03
-1.65E-03,6.51E-04,7.25E-03
-1.65E-03,6.59E-04,7.26E-03
-1.64E-03,6.64E-04,7.27E-03
-1.64E-03,6.71E-04,7.27E-03
-1.64E-03,6.79E-04,7.28E-03
-1.64E-03,6.83E-04,7.27E-03
-1.64E-03,6.82E-04,7.26E-03
-1.64E-03,6.70E-04,7.26E-03
-1.65E-03,6.55E-04,7.25E-03
-1.65E-03,6.52E-04,7.25E-03
-1.65E-03,6.57E-04,7.26E-03
-1.64E-03,6.63E-04,7.27E-03
-1.63E-03,6.69E-04,7.27E-03
-1.63E-03,6.74E-04,7.28E-03
-1.63E-03,6.73E-04,7.27E-03
-1.64E-03,6.67E-04,7.26E-03
-1.65E-03,6.60E-04,7.25E-03
-1.65E-03,6.56E-04,7.24E-03
-1.64E-03,6.58E-04,7.24E-03
-1.62E-03,6.66E-04,7.25E-03
-1.61E-03,6.73E-04,7.26E-03
-1.61E-03,6.76E-04,7.27E-03
-1.62E-03,6.74E-04,7.27E-03
-1.63E-03,6.68E-04,7.27E-03
-1.64E-03,6.61E-04,7.26E-03
-1.65E-03,6.54E-04,7.25E-03
-1.66E-03,6.49E-04,7.25E-03
-1.65E-03,6.52E-04,7.26E-03
-1.65E-03,6.60E-04,7.26E-03
-1.64E-03,6.69E-04,7.27E-03
-1.63E-03,6.75E-04,7.27E-03
-1.63E-03,6.71E-04,7.27E-03
-1.63E-03,6.68E-04,7.26E-03
-1.64E-03,6.65E-04,7.26E-03
-1.64E-03,6.62E-04,7.25E-03
-1.64E-03,6.67E-04,7.26E-03
-1.63E-03,6.74E-04,7.28E-03
-1.63E-03,6.81E-04,7.28E-03
-1.62E-03,6.85E-04,7.28E-03
-1.62E-03,6.83E-04,7.29E-03
-1.63E-03,6.75E-04,7.27E-03
-1.64E-03,6.66E-04,7.26E-03
-1.65E-03,6.60E-04,7.25E-03
-1.64E-03,6.64E-04,7.24E-03
-1.62E-03,6.72E-04,7.25E-03
-1.60E-03,6.81E-04,7.28E-03
-1.59E-03,6.93E-04,7.31E-03
-1.61E-03,6.88E-04,7.29E-03
-1.64E-03,6.76E-04,7.26E-03
-1.65E-03,6.67E-04,7.25E-03
-1.65E-03,6.58E-04,7.25E-03
-1.66E-03,6.53E-04,7.24E-03
-1.65E-03,6.60E-04,7.24E-03
-1.64E-03,6.68E-04,7.25E-03
-1.62E-03,6.78E-04,7.26E-03
-1.61E-03,6.88E-04,7.27E-03
-1.62E-03,6.90E-04,7.28E-03
-1.62E-03,6.89E-04,7.28E-03
-1.63E-03,6.82E-04,7.28E-03
-1.64E-03,6.70E-04,7.27E-03
-1.64E-03,6.64E-04,7.26E-03
-1.64E-03,6.68E-04,7.26E-03
-1.63E-03,6.76E-04,7.26E-03
-1.63E-03,6.85E-04,7.27E-03
-1.62E-03,6.87E-04,7.28E-03
-1.62E-03,6.82E-04,7.28E-03
-1.63E-03,6.73E-04,7.27E-03
-1.63E-03,6.69E-04,7.26E-03
-1.63E-03,6.70E-04,7.25E-03
-1.62E-03,6.75E-04,7.25E-03
-1.61E-03,6.79E-04,7.26E-03
-1.61E-03,6.77E-04,7.27E-03
-1.62E-03,6.79E-04,7.28E-03
-1.63E-03,6.78E-04,7.28E-03
-1.63E-03,6.78E-04,7.28E-03
-1.64E-03,6.78E-04,7.26E-03
-1.64E-03,6.73E-04,7.26E-03
-1.64E-03,6.64E-04,7.26E-03
-1.64E-03,6.61E-04,7.26E-03
-1.63E-03,6.69E-04,7.26E-03
-1.62E-03,6.78E-04,7.27E-03
-1.62E-03,6.83E-04,7.28E-03
-1.61E-03,6.84E-04,7.27E-03
-1.61E-03,6.77E-04,7.26E-03
-1.62E-03,6.67E-04,7.25E-03
-1.64E-03,6.60E-04,7.25E-03
-1.65E-03,6.58E-04,7.26E-03
-1.64E-03,6.63E-04,7.26E-03
-1.63E-03,6.78E-04,7.27E-03
-1.62E-03,6.87E-04,7.27E-03
-1.62E-03,6.86E-04,7.28E-03
-1.63E-03,6.79E-04,7.27E-03
-1.62E-03,6.74E-04,7.28E-03
-1.63E-03,6.68E-04,7.29E-03
-1.63E-03,6.64E-04,7.27E-03
-1.63E-03,6.64E-04,7.26E-03
-1.63E-03,6.68E-04,7.26E-03
-1.62E-03,6.74E-04,7.27E-03
-1.62E-03,6.80E-04,7.27E-03
-1.62E-03,6.83E-04,7.27E-03
-1.63E-03,6.79E-04,7.27E-03
-1.64E-03,6.70E-04,7.26E-03
-1.64E-03,6.62E-04,7.25E-03
-1.63E-03,6.60E-04,7.25E-03
-1.63E-03,6.65E-04,7.25E-03
-1.63E-03,6.73E-04,7.27E-03
-1.62E-03,6.76E-04,7.28E-03
-1.62E-03,6.84E-04,7.27E-03
-1.62E-03,6.84E-04,7.27E-03
-1.62E-03,6.73E-04,7.26E-03
-1.63E-03,6.63E-04,7.26E-03
-1.63E-03,6.63E-04,7.26E-03
-1.63E-03,6.71E-04,7.26E-03
-1.62E-03,6.78E-04,7.26E-03
-1.61E-03,6.82E-04,7.26E-03
-1.61E-03,6.81E-04,7.27E-03
-1.62E-03,6.77E-04,7.27E-03
-1.63E-03,6.73E-04,7.27E-03
-1.63E-03,6.67E-04,7.26E-03
-1.64E-03,6.62E-04,7.25E-03
-1.63E-03,6.62E-04,7.25E-03
-1.63E-03,6.68E-04,7.26E-03
-1.62E-03,6.77E-04,7.27E-03
-1.62E-03,6.83E-04,7.28E-03
-1.61E-03,6.84E-04,7.28E-03
-1.62E-03,6.80E-04,7.28E-03
-1.62E-03,6.72E-04,7.27E-03
-1.64E-03,6.61E-04,7.26E-03
-1.65E-03,6.55E-04,7.25E-03
-1.64E-03,6.61E-04,7.26E-03
-1.62E-03,6.71E-04,7.27E-03
-1.61E-03,6.81E-04,7.28E-03
-1.61E-03,6.87E-04,7.28E-03
-1.61E-03,6.83E-04,7.28E-03
-1.61E-03,6.76E-04,7.27E-03
-1.63E-03,6.69E-04,7.26E-03
-1.65E-03,6.61E-04,7.25E-03
-1.65E-03,6.61E-04,7.25E-03
-1.63E-03,6.68E-04,7.26E-03
-1.62E-03,6.77E-04,7.27E-03
-1.61E-03,6.84E-04,7.28E-03
-1.60E-03,6.86E-04,7.28E-03
-1.60E-03,6.84E-04,7.28E-03
-1.61E-03,6.77E-04,7.28E-03
-1.63E-03,6.69E-04,7.27E-03
-1.63E-03,6.69E-04,7.27E-03
-1.63E-03,6.71E-04,7.27E-03
-1.63E-03,6.75E-04,7.27E-03
-1.62E-03,6.81E-04,7.27E-03
-1.62E-03,6.85E-04,7.28E-03
-1.61E-03,6.85E-04,7.28E-03
-1.62E-03,6.84E-04,7.27E-03
-1.63E-03,6.80E-04,7.27E-03
-1.63E-03,6.78E-04,7.27E-03
-1.61E-03,6.83E-04,7.28E-03
-1.60E-03,6.88E-04,7.27E-03
-1.60E-03,6.86E-04,7.26E-03
-1.61E-03,6.90E-04,7.27E-03
-1.60E-03,6.94E-04,7.28E-03
-1.61E-03,6.87E-04,7.28E-03
-1.63E-03,6.80E-04,7.27E-03
-1.63E-03,6.74E-04,7.27E-03
-1.64E-03,6.69E-04,7.26E-03
-1.64E-03,6.69E-04,7.26E-03
-1.63E-03,6.77E-04,7.27E-03
-1.62E-03,6.81E-04,7.28E-03
-1.61E-03,6.88E-04,7.28E-03
-1.61E-03,6.93E-04,7.28E-03
-1.61E-03,6.89E-04,7.28E-03
-1.62E-03,6.80E-04,7.27E-03
-1.63E-03,6.73E-04,7.27E-03
-1.63E-03,6.69E-04,7.26E-03
-1.62E-03,6.71E-04,7.27E-03
-1.61E-03,6.82E-04,7.28E-03
-1.60E-03,6.95E-04,7.30E-03
-1.59E-03,7.02E-04,7.30E-03
-1.60E-03,6.95E-04,7.29E-03
-1.61E-03,6.88E-04,7.27E-03
-1.62E-03,6.82E-04,7.25E-03
-1.63E-03,6.79E-04,7.25E-03
-1.62E-03,6.82E-04,7.25E-03
-1.60E-03,6.92E-04,7.26E-03
-1.58E-03,7.03E-04,7.27E-03
-1.59E-03,7.04E-04,7.28E-03
-1.61E-03,6.99E-04,7.28E-03
-1.62E-03,6.89E-04,7.27E-03
-1.63E-03,6.74E-04,7.26E-03
-1.64E-03,6.64E-04,7.26E-03
-1.64E-03,6.65E-04,7.26E-03
-1.63E-03,6.79E-04,7.26E-03
-1.61E-03,6.96E-04,7.27E-03
-1.59E-03,7.04E-04,7.28E-03
-1.59E-03,7.05E-04,7.28E-03
-1.60E-03,6.96E-04,7.28E-03
-1.61E-03,6.86E-04,7.28E-03
-1.62E-03,6.81E-04,7.28E-03
-1.63E-03,6.75E-04,7.27E-03
-1.63E-03,6.70E-04,7.27E-03
-1.62E-03,6.76E-04,7.28E-03
-1.61E-03,6.88E-04,7.29E-03
-1.61E-03,6.93E-04,7.29E-03
-1.60E-03,6.94E-04,7.29E-03
-1.60E-03,6.92E-04,7.28E-03
-1.61E-03,6.85E-04,7.26E-03
-1.62E-03,6.76E-04,7.25E-03
-1.64E-03,6.69E-04,7.25E-03
-1.63E-03,6.72E-04,7.26E-03
-1.63E-03,6.77E-04,7.27E-03
-1.62E-03,6.80E-04,7.27E-03
-1.61E-03,6.87E-04,7.28E-03
-1.61E-03,6.89E-04,7.29E-03
-1.62E-03,6.83E-04,7.28E-03
-1.62E-03,6.73E-04,7.26E-03
-1.63E-03,6.65E-04,7.26E-03
-1.63E-03,6.64E-04,7.26E-03
-1.63E-03,6.72E-04,7.27E-03
-1.62E-03,6.83E-04,7.28E-03
-1.61E-03,6.89E-04,7.28E-03
-1.62E-03,6.87E-04,7.27E-03
-1.62E-03,6.83E-04,7.27E-03
-1.62E-03,6.76E-04,7.26E-03
-1.63E-03,6.68E-04,7.27E-03
-1.64E-03,6.62E-04,7.27E-03
-1.64E-03,6.65E-04,7.26E-03
-1.63E-03,6.75E-04,7.27E-03
-1.62E-03,6.83E-04,7.27E-03
-1.62E-03,6.84E-04,7.27E-03
-1.63E-03,6.80E-04,7.27E-03
-1.63E-03,6.76E-04,7.26E-03
-1.64E-03,6.68E-04,7.25E-03
-1.65E-03,6.59E-04,7.24E-03
-1.65E-03,6.53E-04,7.25E-03
-1.64E-03,6.59E-04,7.26E-03
-1.63E-03,6.73E-04,7.27E-03
-1.62E-03,6.84E-04,7.27E-03
-1.61E-03,6.93E-04,7.28E-03
-1.62E-03,6.90E-04,7.27E-03
-1.63E-03,6.75E-04,7.26E-03
-1.64E-03,6.67E-04,7.25E-03
-1.64E-03,6.67E-04,7.25E-03
-1.64E-03,6.69E-04,7.26E-03
-1.63E-03,6.79E-04,7.27E-03
-1.62E-03,6.90E-04,7.29E-03
-1.61E-03,6.94E-04,7.28E-03
-1.61E-03,6.93E-04,7.27E-03
-1.61E-03,6.85E-04,7.26E-03
-1.63E-03,6.71E-04,7.25E-03
-1.64E-03,6.62E-04,7.25E-03
-1.65E-03,6.59E-04,7.25E-03
-1.65E-03,6.65E-04,7.26E-03
-1.64E-03,6.72E-04,7.27E-03
-1.64E-03,6.78E-04,7.28E-03
-1.63E-03,6.79E-04,7.28E-03
-1.64E-03,6.75E-04,7.27E-03
-1.64E-03,6.72E-04,7.26E-03
-1.65E-03,6.65E-04,7.25E-03
-1.65E-03,6.62E-04,7.25E-03
-1.65E-03,6.67E-04,7.26E-03
-1.64E-03,6.75E-04,7.26E-03
-1.63E-03,6.81E-04,7.27E-03
-1.62E-03,6.87E-04,7.27E-03
-1.62E-03,6.88E-04,7.28E-03
-1.62E-03,6.87E-04,7.27E-03
-1.63E-03,6.78E-04,7.26E-03
-1.64E-03,6.65E-04,7.26E-03
-1.64E-03,6.60E-04,7.26E-03
-1.64E-03,6.63E-04,7.26E-03
-1.63E-03,6.70E-04,7.27E-03
-1.62E-03,6.80E-04,7.28E-03
-1.61E-03,6.88E-04,7.28E-03
-1.61E-03,6.89E-04,7.28E-03
-1.62E-03,6.84E-04,7.28E-03
-1.63E-03,6.77E-04,7.27E-03
-1.63E-03,6.71E-04,7.27E-03
-1.63E-03,6.71E-04,7.27E-03
-1.62E-03,6.81E-04,7.27E-03
-1.63E-03,6.86E-04,7.27E-03
-1.63E-03,6.86E-04,7.28E-03
